Date,SPY,VIX,SPY_ret,realized_vol_21d,VRP
2021-04-30,388.7495422363281,18.610000610351562,-0.0065705628365977375,10.496028689876594,8.113971920474969
2021-05-03,389.5880432128906,18.309999465942383,0.002156918235167282,10.050332479460103,8.25966698648228
2021-05-04,387.1845397949219,19.479999542236328,-0.006169345953606076,9.381470436784497,10.098529105451831
2021-05-05,387.3056640625,19.149999618530273,0.00031283342987364904,9.36628103177253,9.783718586757743
2021-05-06,390.3985900878906,18.389999389648438,0.007985749531645103,9.662509378773969,8.727490010874469
2021-05-07,393.2398376464844,16.690000534057617,0.007277812038086751,9.80970655370662,6.880293980350997
2021-05-10,389.3458251953125,19.65999984741211,-0.00990238546144584,10.343540925483502,9.316458921928607
2021-05-11,385.8710632324219,21.84000015258789,-0.008924615953304627,10.875282531428574,10.964717621159316
2021-05-12,377.6730651855469,27.59000015258789,-0.021245433586547735,13.13261956044147,14.457380592146421
2021-05-13,382.2098388671875,23.1299991607666,0.012012436416168004,13.81999303511496,9.310006125651642
2021-05-14,388.078857421875,18.809999465942383,0.01535548789660246,14.35789202031586,4.452107445626522
2021-05-17,387.09136962890625,19.719999313354492,-0.0025445544741317105,14.336234697148601,5.383764616205891
2021-05-18,383.75628662109375,21.34000015258789,-0.008615751394844495,14.546737387022668,6.793262765565222
2021-05-19,382.75018310546875,22.18000030517578,-0.002621725169595468,14.352185088992236,7.827815216183545
2021-05-20,386.8677978515625,20.670000076293945,0.010757969369694864,14.467652870689346,6.2023472056046
2021-05-21,386.551025390625,20.149999618530273,-0.0008188132036232032,14.091803200662964,6.058196417867309
2021-05-24,390.4916687011719,18.399999618530273,0.01019436775924909,14.032661831532195,4.367337786998078
2021-05-25,389.6252746582031,18.84000015258789,-0.0022187260636071793,14.043371951149354,4.796628201438537
2021-05-26,390.3985900878906,17.360000610351562,0.00198476710825779,14.057640245645894,3.3023603647056685
2021-05-27,390.6034240722656,16.739999771118164,0.0005246791089303926,14.056805794853775,2.6831939762643895
2021-05-28,391.3021545410156,16.760000228881836,0.0017888488059458751,13.89408364276655,2.8659165861152864
2021-06-01,390.9574279785156,17.899999618530273,-0.0008809728198515554,13.69161267329112,4.208386945239154
2021-06-02,391.5722961425781,17.479999542236328,0.0015727240872278614,13.683150576148773,3.7968489660875555
2021-06-03,390.1190185546875,18.040000915527344,-0.0037113902137791976,13.5632020925668,4.476798822960543
2021-06-04,393.68695068359375,16.420000076293945,0.00914575285799879,13.897526831829873,2.522473244464072
2021-06-07,393.30499267578125,16.420000076293945,-0.0009702074380399939,13.659531865673594,2.760468210620351
