Date,CVX,GDX,GLD,IEF,KO,PEP,QQQ,SPY,TLT,XOM
2010-01-04,40.89092254638672,41.39031219482422,109.80000305175781,61.140987396240234,17.205249786376953,37.23470687866211,40.24655532836914,84.57847595214844,55.504512786865234,37.37727737426758
2010-01-05,41.1805534362793,41.78938293457031,109.69999694824219,61.40950393676758,16.997121810913086,37.68464279174805,40.24655532836914,84.80237579345703,55.86296463012695,37.523223876953125
2010-01-06,41.18571853637695,42.80440139770508,111.51000213623047,61.1616325378418,16.9910945892334,37.30767822265625,40.00379943847656,84.86209106445312,55.115203857421875,37.847530364990234
2010-01-07,41.030574798583984,42.596187591552734,110.81999969482422,61.1616325378418,16.948854446411133,37.070552825927734,40.02980422973633,85.22029113769531,55.20785903930664,37.72861862182617
2010-01-08,41.10298538208008,43.2381706237793,111.37000274658203,61.237369537353516,16.635154724121094,36.9489631652832,40.35927200317383,85.50389099121094,55.18318176269531,37.5772705078125
2010-01-11,41.83224868774414,43.52445602416992,112.8499984741211,61.27870559692383,16.97299575805664,36.90639114379883,40.19453048706055,85.62333679199219,54.88034439086914,37.99889373779297
2010-01-12,41.589149475097656,41.945533752441406,110.48999786376953,61.71923828125,17.15699005126953,37.4232063293457,39.69168472290039,84.82479095458984,55.8197135925293,37.8096923828125
2010-01-13,41.273651123046875,42.38798141479492,111.54000091552734,61.423240661621094,17.20223617553711,37.72719955444336,40.185874938964844,85.54119873046875,55.17080307006836,37.65834426879883
2010-01-14,41.144371032714844,42.16242218017578,112.02999877929688,61.71234130859375,17.232393264770508,38.18320846557617,40.220542907714844,85.77256774902344,55.94334030151367,37.66374588012695
2010-01-15,40.978843688964844,41.13872528076172,110.86000061035156,61.987735748291016,16.979013442993164,37.87314224243164,39.75236511230469,84.80984497070312,56.2894287109375,37.35565185546875
2010-01-19,41.21158981323242,41.372962951660156,111.5199966430664,61.877559661865234,17.018239974975586,37.897457122802734,40.393943786621094,85.86959838867188,56.128719329833984,37.442134857177734
2010-01-20,40.42025375366211,39.672576904296875,108.94000244140625,62.090946197509766,16.740726470947266,37.666412353515625,39.81306076049805,84.99639892578125,56.697296142578125,36.77187728881836
2010-01-21,39.4323844909668,37.954856872558594,107.37000274658203,62.318092346191406,16.39989471435547,37.05231475830078,39.44025421142578,83.36199188232422,56.95686721801758,36.05299758911133
2010-01-22,38.57897186279297,37.989559173583984,107.16999816894531,62.37313461303711,16.36067771911621,36.71790313720703,38.28711700439453,81.50369262695312,56.858001708984375,35.72869110107422
2010-01-25,38.558284759521484,37.469032287597656,107.4800033569336,62.235530853271484,16.393850326538086,36.620628356933594,38.417171478271484,81.92166137695312,56.59846878051758,35.59354782104492
2010-01-26,38.351402282714844,37.4169807434082,107.55999755859375,62.35939407348633,16.330509185791016,36.63278579711914,38.45184326171875,81.57833862304688,56.61695098876953,35.631378173828125
2010-01-27,38.1186637878418,37.104671478271484,106.52999877929688,62.214866638183594,16.442113876342773,36.6571044921875,38.75530242919922,81.96644592285156,56.586090087890625,35.42598342895508
2010-01-28,37.88072967529297,36.58414077758789,106.4800033569336,62.194271087646484,16.34257698059082,36.32270050048828,37.758235931396484,81.02606964111328,56.5551872253418,35.11246871948242
2010-01-29,37.301456451416016,35.326210021972656,105.95999908447266,62.43513107299805,16.363693237304688,36.2497444152832,37.09931945800781,80.14543151855469,57.04958724975586,34.82601547241211
2010-02-01,38.05657958984375,37.25215148925781,108.3499984741211,62.22109603881836,16.402908325195312,36.90639114379883,37.50682067871094,81.39176940917969,56.531776428222656,35.771915435791016
2010-02-02,38.506568908691406,37.304203033447266,109.12999725341797,62.32465362548828,16.605003356933594,37.18001174926758,37.844947814941406,82.37686920166016,56.69298553466797,36.19353103637695
2010-02-03,37.8652229309082,36.931156158447266,108.69999694824219,62.02762985229492,16.550703048706055,37.26512145996094,38.053035736083984,81.96644592285156,56.03557205200195,35.99893569946289
2010-02-04,36.913543701171875,34.909793853759766,104.37000274658203,62.538753509521484,16.116352081298828,36.26189422607422,36.95191955566406,79.43645477294922,56.92245864868164,34.98275375366211
2010-02-05,36.81528091430664,36.79235076904297,104.68000030517578,62.7390022277832,16.0137939453125,36.182857513427734,37.26404571533203,79.60066223144531,57.046451568603516,35.0259895324707
2010-02-08,36.272193908691406,35.378265380859375,104.04000091552734,62.68377685546875,15.881073951721191,35.84844207763672,36.99526596069336,79.02598571777344,57.12089538574219,35.0096549987793
2010-02-09,36.882511138916016,36.931156158447266,105.41000366210938,62.345314025878906,16.291290283203125,36.51118087768555,37.37675094604492,80.01858520507812,56.55036163330078,35.47211456298828
2010-02-10,36.59286880493164,36.740299224853516,105.12000274658203,62.172672271728516,16.224943161010742,36.711822509765625,37.29872131347656,79.86187744140625,56.010772705078125,35.281681060791016
2010-02-11,37.09973907470703,38.16307067871094,107.12999725341797,62.09675598144531,16.35464096069336,37.204315185546875,37.862281799316406,80.69770050048828,55.70682144165039,35.493873596191406
2010-02-12,37.078853607177734,38.119686126708984,107.04000091552734,62.24174880981445,16.28224754333496,37.040157318115234,37.9403190612793,80.63055419921875,55.93631362915039,35.25448226928711
2010-02-16,38.112754821777344,38.96120071411133,109.62000274658203,62.37990188598633,16.535619735717773,37.27726364135742,38.42584991455078,81.89926147460938,56.041751861572266,36.059696197509766
2010-02-17,38.0344123840332,38.78769302368164,109.25,62.04838562011719,16.6894588470459,37.76368713378906,38.64258575439453,82.287353515625,55.40290832519531,35.776790618896484
2010-02-18,38.44171905517578,39.09132766723633,109.9800033569336,61.827388763427734,16.864408493041992,38.01905822753906,38.885353088378906,82.7724380493164,55.17967987060547,35.885597229003906
2010-02-19,38.666236877441406,38.66623306274414,109.47000122070312,61.86188507080078,16.807090759277344,38.09809875488281,38.86801528930664,82.94407653808594,55.477386474609375,35.836631774902344
2010-02-22,38.097076416015625,38.24980926513672,109.06999969482422,61.81354904174805,16.70454216003418,37.94609451293945,38.78998947143555,82.9590072631836,55.247859954833984,35.580928802490234
2010-02-23,37.616676330566406,36.870426177978516,107.88999938964844,62.283203125,16.53863525390625,37.563045501708984,38.28711700439453,81.95146179199219,56.110008239746094,35.33066177368164
2010-02-24,37.77333068847656,36.65353775024414,107.36000061035156,62.317710876464844,16.6381778717041,37.74544906616211,38.677268981933594,82.70528411865234,56.24644470214844,35.66252899169922
2010-02-25,37.65324020385742,37.69459533691406,108.30999755859375,62.54563522338867,16.022842407226562,37.879215240478516,38.66859817504883,82.59331512451172,56.56271743774414,35.439476013183594
2010-02-26,37.7524528503418,38.0763053894043,109.43000030517578,62.642333984375,15.90218734741211,37.982582092285156,38.80731964111328,82.64556884765625,56.85418701171875,35.36332702636719
2010-03-01,38.01874542236328,38.726966857910156,109.43000030517578,62.70743179321289,16.068082809448242,38.5662727355957,39.370887756347656,83.50379943847656,56.829349517822266,35.580928802490234
2010-03-02,38.285057067871094,39.481719970703125,111.0199966430664,62.7420654296875,16.07713508605957,38.79123306274414,39.49225616455078,83.73516845703125,56.75464630126953,35.629878997802734
2010-03-03,38.185848236083984,40.21912384033203,111.62999725341797,62.67969512939453,16.26715850830078,39.176998138427734,39.53560256958008,83.809814453125,56.61161804199219,35.59724807739258
2010-03-04,38.159732818603516,39.542457580566406,110.83000183105469,62.790550231933594,16.4300479888916,39.2566032409668,39.66568374633789,84.06353759765625,56.91020202636719,35.580928802490234
2010-03-05,38.79677200317383,40.27986145019531,110.80999755859375,62.49273681640625,16.499422073364258,39.41580581665039,40.2639045715332,85.26509857177734,56.16365051269531,36.1630744934082
2010-03-08,38.97431564331055,39.863441467285156,109.87999725341797,62.326507568359375,16.427034378051758,39.28110122680664,40.3419303894043,85.27999877929688,55.87115478515625,36.16849136352539
2010-03-09,38.79677200317383,39.542457580566406,109.72000122070312,62.485816955566406,16.34257698059082,39.409671783447266,40.56732940673828,85.42181396484375,55.8836555480957,36.33171844482422
2010-03-10,38.61924743652344,39.004581451416016,108.47000122070312,62.38194274902344,16.34860610961914,39.45254135131836,40.89681625366211,85.80242156982422,55.74052429199219,36.571102142333984
2010-03-11,38.63490676879883,39.316890716552734,108.5999984741211,62.326507568359375,16.299949645996094,39.78321838378906,41.05287551879883,86.16064453125,55.94584655761719,36.571102142333984
2010-03-12,38.4939079284668,39.030601501464844,107.94999694824219,62.42350387573242,16.223922729492188,39.86280822753906,41.06155014038086,86.16809844970703,56.29425811767578,36.342594146728516
2010-03-15,38.41560745239258,38.98722457885742,108.36000061035156,62.42350387573242,16.315153121948242,40.505760192871094,40.957489013671875,86.1905288696289,56.21962356567383,36.07056427001953
2010-03-16,38.629695892333984,40.010921478271484,110.4000015258789,62.665889739990234,16.330364227294922,40.4567756652832,41.217613220214844,86.8770980834961,56.6675910949707,36.21744918823242
2010-03-17,38.98997116088867,40.14105224609375,109.58999633789062,62.7420654296875,16.372941970825195,40.762943267822266,41.330326080322266,87.39202880859375,56.91020202636719,36.64727020263672
2010-03-18,39.03697204589844,39.880794525146484,110.33999633789062,62.57588577270508,16.406387329101562,40.73231887817383,41.46904754638672,87.34725952148438,56.723609924316406,36.66358184814453
2010-03-19,39.151851654052734,39.3082160949707,108.27999877929688,62.49273681640625,16.649667739868164,40.7568244934082,41.21820831298828,86.90512084960938,56.779605865478516,36.473175048828125
2010-03-22,38.880313873291016,39.160728454589844,107.75,62.700523376464844,16.585805892944336,40.603736877441406,41.5914306640625,87.36974334716797,56.84176254272461,36.435096740722656
2010-03-23,39.04218673706055,39.28218460083008,108.31999969482422,62.568965911865234,16.816923141479492,40.94052505493164,41.877838134765625,87.98424530029297,56.57423400878906,36.42420196533203
2010-03-24,38.60358428955078,37.73796844482422,106.30000305175781,61.94568634033203,16.610136032104492,40.573116302490234,41.67820739746094,87.55707550048828,55.54145431518555,36.17938232421875
2010-03-25,38.53570556640625,37.22611618041992,106.77999877929688,61.71711730957031,16.664867401123047,40.750694274902344,41.617462158203125,87.41474914550781,55.186790466308594,36.07056427001953
2010-03-26,38.86466598510742,37.9201545715332,108.58999633789062,61.86252975463867,16.619260787963867,40.775184631347656,41.660850524902344,87.36224365234375,55.34235382080078,36.201141357421875
2010-03-29,39.282386779785156,38.45802307128906,108.75,61.77250289916992,16.655746459960938,40.750694274902344,41.8604850769043,87.91677856445312,55.13078308105469,36.61463928222656
2010-03-30,39.318939208984375,38.05028533935547,107.97000122070312,61.834835052490234,16.6861629486084,40.88539123535156,41.99934005737305,87.97672271728516,55.30498504638672,36.478607177734375
2010-03-31,39.595703125,38.527427673339844,108.94999694824219,61.980289459228516,16.725690841674805,40.51189041137695,41.79973220825195,87.67698669433594,55.684547424316406,36.44053268432617
2010-04-01,40.04475402832031,40.25382995605469,110.26000213623047,61.85178756713867,16.816923141479492,40.83030319213867,41.79973220825195,88.2764892578125,55.54835891723633,36.78327178955078
2010-04-05,40.55125045776367,40.68760681152344,110.88999938964844,61.29618453979492,16.683124542236328,40.401668548583984,42.19029998779297,88.99591827392578,54.624141693115234,37.09881591796875
2010-04-06,40.66612243652344,40.60952377319336,111.02999877929688,61.476783752441406,16.509784698486328,40.652732849121094,42.31180953979492,89.2057113647461,54.71158218383789,36.94104766845703
2010-04-07,40.399818420410156,41.79805374145508,112.48999786376953,61.85877227783203,16.366857528686523,40.407779693603516,42.207672119140625,88.69613647460938,55.41101837158203,36.636390686035156
2010-04-08,40.55125045776367,41.80672073364258,112.6500015258789,61.789302825927734,16.348602294921875,40.39555358886719,42.303131103515625,89.00337219238281,55.43605041503906,36.9193000793457
2010-04-09,41.512020111083984,42.2318229675293,113.63999938964844,61.85877227783203,16.60101318359375,40.63434982299805,42.554840087890625,89.587890625,55.567142486572266,37.4089469909668
2010-04-12,41.99764633178711,41.76334762573242,113.01000213623047,62.02539825439453,16.652713775634766,40.60987091064453,42.58955001831055,89.73029327392578,55.86063003540039,37.38174057006836
2010-04-13,41.88277816772461,41.42501449584961,112.69000244140625,62.143497467041016,16.731782913208008,40.652732849121094,42.8065185546875,89.79771423339844,56.041725158691406,37.35454559326172
2010-04-14,42.075965881347656,41.719974517822266,113.02999877929688,61.976806640625,16.710494995117188,40.591495513916016,43.31861114501953,90.8168716430664,55.64833450317383,37.32732391357422
2010-04-15,42.60335922241211,41.268856048583984,113.6500015258789,62.08097457885742,16.500656127929688,40.5792350769043,43.50955581665039,90.89183044433594,55.71075439453125,37.13690185546875
2010-04-16,42.16472625732422,40.47072219848633,111.23999786376953,62.456024169921875,16.716569900512695,40.49964904785156,42.988800048828125,89.44548797607422,56.116676330566406,36.957374572753906
